Players,Height,Weight,DOB,Birthplace,,Height Foot,Height Inches txt,Height Inches,Total Inches,Height in CM,Weight in pounds,Weight in grams 
"Adamonis, Brad ","6'2""",215 lbs,1/16/73,"Providence , USA",,6,"2""",2,74,187.96,215 ,97522.35955
"Adams, Blake ","6'3""",205 lbs,8/27/75,"Bartlesville , USA",,6,"3""",3,75,190.5,205 ,92986.43585
"Adams III, Frank ","5'7""",165 lbs,5/27/79,USA,,5,"7""",7,67,170.18,165 ,74842.74105
"Affrunti, Joe ","5'7""",155 lbs,8/1/81,"Chicago , USA",,5,"7""",7,67,170.18,155 ,70306.81735
"Agee, Brian ","6'2""",168 lbs,,"Roanoke , USA",,6,"2""",2,74,187.96,168 ,76203.51816
"Aguilar, Felipe ","5'7""",159 lbs,11/7/74,"Valdivia , CHL",,5,"7""",7,67,170.18,159 ,72121.18683
"Aiken, Thomas ","5'10""",150 lbs,7/16/83,"Johannesburg , ZAF",,5,"10""",10,70,177.8,150 ,68038.8555
"Aldridge, Tyler ","6'0""",710 lbs,9/2/84,"Caldwell , USA",,6,"0""",0,72,182.88,710 ,322050.5827
"Alker, Steven ","5'11""",145 lbs,7/28/71,"Hamilton , NZL",,5,"11""",11,71,180.34,145 ,65770.89365
"Allan, Steve ","5'9""",170 lbs,10/18/73,"Melbourne , AUS",,5,"9""",9,69,175.26,170 ,77110.7029
"Allen, Michael ","6'0""",195 lbs,1/31/59,"San Mateo , USA",,6,"0""",0,72,182.88,195 ,88450.51215
"Allenby, Robert ","6'1""",185 lbs,7/12/71,"Melbourne , AUS",,6,"1""",1,73,185.42,185 ,83914.58845
"Allred, Jason ","6'2""",175 lbs,4/6/80,"Ashland , USA",,6,"2""",2,74,187.96,175 ,79378.66475
"Alverio, Max ","5'8""",155 lbs,5/8/85,"Hamacao , PRI",,5,"8""",8,68,172.72,155 ,70306.81735
"Ames, Stephen ","6'1""",165 lbs,4/28/64,"San Fernando , TTO",,6,"1""",1,73,185.42,165 ,74842.74105
"An, Byeong-Hun ","6'1""",209 lbs,9/17/91,"Seoul , KOR",,6,"1""",1,73,185.42,209 ,94800.80533
"Anderson, Mark ","6'1""",180 lbs,2/14/86,"Annapolis , USA",,6,"1""",1,73,185.42,180 ,81646.6266
"Andersson Hed, Fredrik ","6'2""",170 lbs,1/20/72,"Halmstad , SWE",,6,"2""",2,74,187.96,170 ,77110.7029
"Andrade, Billy ","5'9""",160 lbs,1/25/64,"Bristol , USA",,5,"9""",9,69,175.26,160 ,72574.7792
"Aphibarnrat, Kiradech ","5'8""",228 lbs,7/23/89,"Bangkok , THA",,5,"8""",8,68,172.72,228 ,103419.0604
"Appleby, Stuart ","6'1""",195 lbs,5/1/71,"Cohuna , AUS",,6,"1""",1,73,185.42,195 ,88450.51215
"Aragon, Alex ","6'0""",185 lbs,3/11/79,"Mexico City , MEX",,6,"0""",0,72,182.88,185 ,83914.58845
"Armour, Ryan ","5'9""",160 lbs,2/27/76,"Akron , USA",,5,"9""",9,69,175.26,160 ,72574.7792
"Armour III, Tommy ","6'2""",190 lbs,10/8/59,"Denver , USA",,6,"2""",2,74,187.96,190 ,86182.5503
"Arnold, Scott ","6'1""",143 lbs,9/13/85,"Sydney , AUS",,6,"1""",1,73,185.42,143 ,64863.70891
"Arp, Riley ","5'10""",155 lbs,,"Missoula , USA",,5,"10""",10,70,177.8,155 ,70306.81735
"Atwal, Arjun ","6'1""",185 lbs,3/20/73,"Asansol , IND",,6,"1""",1,73,185.42,185 ,83914.58845
"Austin, Woody ","6'0""",190 lbs,1/27/64,"Tampa , USA",,6,"0""",0,72,182.88,190 ,86182.5503
"Axley, Eric ","6'0""",185 lbs,4/22/74,"Athens , USA",,6,"0""",0,72,182.88,185 ,83914.58845
"Azinger, Paul ","6'2""",175 lbs,1/6/60,"Holyoke , USA",,6,"2""",2,74,187.96,175 ,79378.66475