id,Stadium,City,Country,Capacity,Capacity
1,Camp Nou,Barcelona,Spain,"99,354",99354
2,Wembley Stadium,London,England,"90,000",90000
3,Signal Iduna Park,Dortmund,Germany,"81,359",81359
4,Estadio Santiago Bernabeu,Madrid,Spain,"81,044",81044
5,San Siro,Milan,Italy,"80,018",80018
6,Stade de France,Paris,France,"80,000",80000
7,Luzhniki Stadiumæ(before renovation),Moscow,Russia,"78,300",78300
8,Ataturk Olimpiyat Stadium,Istanbul,Turkey,"76,092",76092
9,Old Trafford,Manchester,England,"75,811",75811
10,Allianz Arena,Munich,Germany,"75,000",75000
11,Olympiastadion,Berlin,Germany,"74,648",74648
12,Millennium Stadium,Cardiff,Wales,"74,500",74500
13,Stadio Olimpico,Rome,Italy,"72,698",72698
14,NSC Olimpiyskiy,Kiev,Ukraine,"70,050",70050
15,OAKA Stadium,Athens,Greece,"69,918",69918
16,Baku Olympic Stadium,Baku,Azerbaijan,"68,700",68700
17,Stade Velodrome,Marseille,France,"67,000",67000
18,Estadio da Luz,Lisbon,Portugal,"64,400",64400
19,VELTINS-Arena,Gelsenkirchen,Germany,"61,637",61637
20,Celtic Park,Glasgow,Scotland,"60,500",60500
21,Mercedes-Benz-Arena,Stuttgart,Germany,"60,441",60441
22,Emirates Stadium,London,England,"60,361",60361
23,Stadio San Paolo,Naples,Italy,"60,240",60240
24,Estadio La Cartuja de Sevilla,Seville,Spain,"60,000",60000
25,London Stadium,London,England,"60,000",60000
26,Parc Olympique Lyonnais,Lyon,France,"59,186",59186
27,Stadio San Nicola,Bari,Italy,"58,270",58270
28,PGE Narodowy,Warsaw,Poland,"58,145",58145
29,Volksparkstadion,Hamburg,Germany,"57,000",57000
30,Estadio Benito Villamarin,Seville,Spain,"56,500",56500
31,Arena Nationala,Bucharest,Romania,"55,634",55634
32,Estadio de Mestalla,Valencia,Spain,"55,000",55000
33,Etihad Stadium,Manchester,England,"55,000",55000
34,Estadio Vicente Calderon,Madrid,Spain,"54,960",54960
35,ESPRIT arena,Dusseldorf,Germany,"54,600",54600
36,Boris Paichadze Dinamo Arena,Tblisi,Georgia,"54,139",54139
37,Anfield,Liverpool,England,"54,074",54074
38,Borussia-Park,Monchengladbach,Germany,"54,010",54010
39,Hrazdan Stadium,Yerevan,Armenia,"53,849",53849
40,Amsterdam ArenA,Amsterdam,Netherlands,"53,052",53052
41,Estadio San Mames,Bilbao,Spain,"53,000",53000
42,Stadion Rajko Mitic,Belgrade,Serbia,"53,000",53000
43,Turk Telekom Arena,Istanbul,Turkey,"52,650",52650
44,St. James Park,Newcastle,England,"52,339",52339
45,Donbass Arena,Donetsk,Ukraine,"52,187",52187
46,Hampden Park,Glasgow,Scotland,"52,000",52000
47,Commerzbank-Arena,Frankfurt,Germany,"51,500",51500
48,Izmir Ataturk Stadium,Izmir,Turkey,"51,295",51295
49,De Kuip,Rotterdam,Netherlands,"51,177",51177
50,Ibrox Stadium,Glasgow,Scotland,"51,082",51082
51,Ernst Happel Stadion,Vienna,Austria,"50,865",50865
52,Sukru Saracoglu Stadium,Istanbul,Turkey,"50,530",50530
53,Estadio do Dragao,Porto,Portugal,"50,431",50431
54,Stade Roi Baudouin,Brussels,Belgium,"50,093",50093
55,Estadio Jose Alvalade,Lisbon,Portugal,"50,049",50049
56,Aviva Stadium,Dublin,Ireland,"50,000",50000
57,Friends Arena,Stockholm,Sweden,"50,000",50000
58,Stadion Nurnberg,Nuremberg,Germany,"50,000",50000
59,RheinEnergieStadion,Cologne,Germany,"50,000",50000
60,Stade Pierre Mauroy,Lille,France,"50,000",50000
61,Fritz-Walter-Stadion,Kaiserslautern,Germany,"49,780",49780
62,Stadium of Light,Sunderland,England,"49,000",49000
63,HDI Arena,Hanover,Germany,"49,000",49000
64,Parc des Princes,Paris,France,"48,527",48527
65,Fisht Olympic Stadium,Sochi,Russia,"47,659",47659
66,Otkritie Arena,Moscow,Russia,"45,360",45360
67,Kazan Arena,Kazan,Russia,"45,000",45000