Players,Height,Weight,DOB,Birthplace,,Height in CM,weight in kg
"Adamonis, Brad","6'2""",215 lbs,1/16/73,"Providence , USA",,187.96,97.52235955
"Adams, Blake","6'3""",205 lbs,8/27/75,"Bartlesville , USA",,190.5,92.98643585
"Adams III, Frank","5'7""",165 lbs,5/27/79,USA,,170.18,74.84274105
"Affrunti, Joe","5'7""",155 lbs,8/1/81,"Chicago , USA",,170.18,70.30681735
"Agee, Brian","6'2""",168 lbs,,"Roanoke , USA",,187.96,76.20351816
"Aguilar, Felipe","5'7""",159 lbs,11/7/74,"Valdivia , CHL",,170.18,72.12118683
"Aiken, Thomas","5'10""",150 lbs,7/16/83,"Johannesburg , ZAF",,177.8,68.0388555
"Aldridge, Tyler","6'0""",710 lbs,9/2/84,"Caldwell , USA",,182.88,322.0505827
"Alker, Steven","5'11""",145 lbs,7/28/71,"Hamilton , NZL",,180.34,65.77089365
"Allan, Steve","5'9""",170 lbs,10/18/73,"Melbourne , AUS",,175.26,77.1107029
"Allen, Michael","6'0""",195 lbs,1/31/59,"San Mateo , USA",,182.88,88.45051215
"Allenby, Robert","6'1""",185 lbs,7/12/71,"Melbourne , AUS",,185.42,83.91458845
"Allred, Jason","6'2""",175 lbs,4/6/80,"Ashland , USA",,187.96,79.37866475
"Alverio, Max","5'8""",155 lbs,5/8/85,"Hamacao , PRI",,172.72,70.30681735
"Ames, Stephen","6'1""",165 lbs,4/28/64,"San Fernando , TTO",,185.42,74.84274105
"An, Byeong-Hun","6'1""",209 lbs,9/17/91,"Seoul , KOR",,185.42,94.80080533
"Anderson, Mark","6'1""",180 lbs,2/14/86,"Annapolis , USA",,185.42,81.6466266
"Andersson Hed, Fredrik","6'2""",170 lbs,1/20/72,"Halmstad , SWE",,187.96,77.1107029
"Andrade, Billy","5'9""",160 lbs,1/25/64,"Bristol , USA",,175.26,72.5747792
"Aphibarnrat, Kiradech","5'8""",228 lbs,7/23/89,"Bangkok , THA",,172.72,103.4190604
"Appleby, Stuart","6'1""",195 lbs,5/1/71,"Cohuna , AUS",,185.42,88.45051215
"Aragon, Alex","6'0""",185 lbs,3/11/79,"Mexico City , MEX",,182.88,83.91458845
"Armour, Ryan","5'9""",160 lbs,2/27/76,"Akron , USA",,175.26,72.5747792
"Armour III, Tommy","6'2""",190 lbs,10/8/59,"Denver , USA",,187.96,86.1825503
"Arnold, Scott","6'1""",143 lbs,9/13/85,"Sydney , AUS",,185.42,64.86370891
"Arp, Riley","5'10""",155 lbs,,"Missoula , USA",,177.8,70.30681735
"Atwal, Arjun","6'1""",185 lbs,3/20/73,"Asansol , IND",,185.42,83.91458845
"Austin, Woody","6'0""",190 lbs,1/27/64,"Tampa , USA",,182.88,86.1825503
"Axley, Eric","6'0""",185 lbs,4/22/74,"Athens , USA",,182.88,83.91458845
"Azinger, Paul","6'2""",175 lbs,1/6/60,"Holyoke , USA",,187.96,79.37866475